Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Малярные инструменты,"Кисть флейц., ширина 70 мм, толщ. 16 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 39 шт,1 740 KZT,30-0164,Master color,Россия,Не указан
Малярные инструменты,"Валик,  18 см, ядро 41, полиакрил, ворс 12 мм, под 8 мм  ручку",Остаток Алматы: 61 шт,1 740 KZT,30-0786,Master color,Россия,Не указан
Малярные инструменты,"Ручка для валика, оцинкованная сталь Ø8 мм, ширина 18 см",Остаток Алматы: 59 шт,1 160 KZT,30-1210,Master color,Россия,Не указан
Малярные инструменты,"Clever Cover: укрывная пленка с золотистой малярной лентой, 55 см х 33 м. Статически заряжена. 7 мкр",Остаток Алматы: 59 шт,3 120 KZT,30-7114,Master color,Россия,Не указан
Малярные инструменты,"Валик, 10 см., ядров 35 мм,  пенополиэстер, мелкопористый, под 6 мм ручку",Остаток Алматы: 41 шт,530 KZT,30-1023,Master color,Россия,Не указан
Малярные инструменты,"KELLY-MOORE 4 PRO HD ROLLER FRAME- Рукоятка для валика 101,6мм",Остаток Алматы: 54 шт,13 300 KZT,4PHK5G,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Валик, 25 см, ядро  44, полиамид, ворс 20 мм, с подкладкой 8 мм, под 8 мм  ручку.",Остаток Алматы: 54 шт,4 860 KZT,30-0767,Master color,Россия,Не указан
Малярные инструменты,KELLY-MOORE 2 100% SOLID TAPERED POLYESTER FLAT SASH- Кисть полиэстер смесь круглых нитей средней же,Остаток Алматы: 48 шт,9 300 KZT,0037-161,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Ручка для валика 2К, алюминий Ø 8 мм, ширина 180 мм",Остаток Алматы: 36 шт,3 120 KZT,30-1230,Master color,Россия,Не указан
Малярные инструменты,KELLY-MOORE 2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей средней,Остаток Алматы: 48 шт,10 100 KZT,0037-158,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Валик, 18 см, ядро 47,  полиамид, ворс 20 мм, под 8 мм  ручку",Остаток Алматы: 34 шт,2 780 KZT,30-0756,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 30 мм,  толщ. 12 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 26 шт,800 KZT,30-0161,Master color,Россия,Не указан
Малярные инструменты,"Валик, 18 см, ядро 58, полиакрил, ворс 18 мм, под 8 мм ручку",Остаток Алматы: 46 шт,2 080 KZT,30-0816,Master color,Россия,Не указан
Малярные инструменты,"Валик 25 см, ядро 41 мм, полиэстр филт, ворс 5, под 8 мм ручку",Остаток Алматы: 45 шт,2 430 KZT,30-0687,Master color,Россия,Не указан
Малярные инструменты,"Валик 10 см, ядро 15 мм, полиэстр филт, ворс 6, под 6 мм ручку",Остаток Алматы: 44 шт,700 KZT,30-1032,Master color,Россия,Не указан
Малярные инструменты,"KELLY-MOORE 1-1-2 WHITE CHINA BRISTLE VARNISH- Кисть натуральная китайская белая щетина (38мм, ровны",Остаток Алматы: 41 шт,9 600 KZT,0037-165,KELLY-MOORE,Америка,Не указан
Малярные инструменты,"Clever Cover: укрывная пленка с золотистой малярной лентой, 140 см х 33 м. Статически заряжена. 7 мк",Остаток Алматы: 27 шт,4 860 KZT,30-7116,Master color,Россия,Не указан
Малярные инструменты,"Валик, 25 см, ядро 48, полиакрил, ворс 18 мм, под 8 мм ручку",Остаток Алматы: 39 шт,2 080 KZT,30-0807,Master color,Россия,Не указан
Малярные инструменты,Валик Филт войлочный 25см/38мм,Остаток Алматы: 38 шт,6 130 KZT,450025,ANZA,Швеция,Не указан
Малярные инструменты,"Кисть флейц., ширина 40 мм,  толщ. 13 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 16 шт,940 KZT,30-0162,Master color,Россия,Не указан
